date,symbol,momentum,volatility,quality
20260627,S001,0.01,0.2,1.0
20260627,S002,0.02,0.21,1.1
20260627,S003,0.03,0.22,1.2
20260627,S004,0.04,0.23,1.3
20260627,S005,0.05,0.24,1.4
20260627,S006,0.06,0.25,1.5
20260628,S001,0.07,0.22,0.95
20260628,S002,0.08,0.23,1.05
20260628,S003,0.09,0.24,1.15
20260628,S004,0.1,0.25,1.25
20260628,S005,0.11,0.26,1.35
20260628,S006,0.12,0.27,1.45
20260629,S001,0.13,0.24,0.9
20260629,S002,0.14,0.25,1.0
20260629,S003,0.15,0.26,1.1
20260629,S004,0.16,0.27,1.2
20260629,S005,0.17,0.28,1.3
20260629,S006,0.18,0.29,1.4
20260630,S001,0.19,0.26,0.85
20260630,S002,0.2,0.27,0.95
20260630,S003,0.21,0.28,1.05
20260630,S004,0.22,0.29,1.15
20260630,S005,0.23,0.3,1.25
20260630,S006,0.24,0.31,1.35
